sha256	sha1	md5	category	filename	publisher	loads_despite_hvci	imphash
1d0397c263d51e9fc95bcc8baf98d1a853e1c0401cd0e27c7bf5da3fba1c93a8	cb3de54667548a5c9abf5d8fa47db4097fcee9f1	d2588631d8aae2a3e54410eaf54f0679	vulnerable driver	BS_HWMIO64_W10.sys		FALSE	095c0cdb9c0421da216371c1f4e8790e
0414c0d5bb6ddbcc84b3d59ce411acf1ed8b17d17054c6192e0a7594b5146d60	f0f325dc9b15fef3781d01b6b14022a89c68ca46	e0efe6ca3af0eddd2ea34899206dc989	vulnerable driver	mtxC9CB.sys		FALSE	88e4a085452babe37f90155de5fedaf7
23e89fd30a1c7db37f3ea81b779ce9acf8a4294397cbb54cff350d54afcfd931	43501832ce50ccaba2706be852813d51de5a900f	0b311af53d2f4f77d30f1aed709db257	malicious	malicious.sys		TRUE	2de3451f3e7b02970582bb8f9fd8c73a
da70fa44290f949e9b3e0fcfe0503de46e82e0472e8e3c360da3fd2bfa364eee	03e82eae4d8b155e22ffdafe7ba0c4ab74e8c1a7	c94f405c5929cfcccc8ad00b42c95083	malicious			TRUE	be0dd8b8e045356d600ee55a64d9d197
36505921af5a09175395ebaea29c72b2a69a3a9204384a767a5be8a721f31b10	34c85afe6d84cd3deec02c0a72e5abfa7a2886c3	a5f637d61719d37a5b4868c385e363c0	vulnerable driver	aswVmm.sys		TRUE	44e6f2f64092b48f8eb926c36ebd1d56
b19ec8330b026100f705c05b793030ca109e15cbec4ada13b452acf259cc29d5	b709573815f7b5e016400b2c301dce562d02699b	57d874a13a40c58ade544c273543ecfb	vulnerable driver	RtsTpx.sys		TRUE	3dd15860eaae991718ae239bc20417c7
31f4cfb4c71da44120752721103a16512444c13c2ac2d857a7e6f13cb679b427	fe10018af723986db50701c8532df5ed98b17c39	9ab9f3b75a2eb87fafb1b7361be9dfb3	vulnerable driver	gdrv.sys		FALSE	cc81a908891587ccac8059435eda4c66
ff6729518a380bf57f1bc6f1ec0aa7f3012e1618b8d9b0f31a61d299ee2b4339	8d59fd14a445c8f3f0f7991fa6cd717d466b3754	1cff7b947f8c3dea1d34dc791fc78cdc	vulnerable driver	gdrv.sys		FALSE	1d774a94ad511efe5ebfe70acc6f8c85
88992ddcb9aaedb8bfcc9b4354138d1f7b0d7dddb9e7fcc28590f27824bee5c3	84341ed15d645c4daedcdd39863998761e4cb0e3	95a95e28cf5ee4ece6ffbaf169358192	vulnerable driver			FALSE	cc81a908891587ccac8059435eda4c66
28c5bb735f9fc38e0ebd366978898f0cfcd455e4ff8bf1a321768b09e01ee84d	d60fc160f73450ee63c9f46dd55d5cede6fe3dcd	bb08ca77afc108421b8135d22ea6b374	vulnerable driver	xkpsm.sys		FALSE	68dea920d822aa2e15f3dd7f2c59678a
cdf38928a13dfe0e6de054f0229945b9f7db9f88eb7269ecefdceb4b5fab4bfa	0e03d54a6fb230f54127363013770468dd156ba4	0463f185ac41aa492bd35dceb5de2ffc	vulnerable driver	CmUpx.sys		FALSE	ab986ade8b3cc340f30c1f64554034d7
8922be14c657e603179f1dd94dc32de7c99d2268ac92d429c4fdda7396c32e50	08dd35dde6187af579a1210e00eadbcea29e66d2	1fc7aeeff3ab19004d2e53eae8160ab1	malicious			TRUE	be0dd8b8e045356d600ee55a64d9d197
ee8844ffd3879190fb389b0f613cb2dcdcd83375cf0a6994170a648c5ca8c479	ba349735882fef5e60d8b6f7791d6220bccebcb5	a8bafdb454162ba3776e551f6b552f8e	vulnerable driver	devhost.sys		TRUE	fb7c5ff17455f725aa59f998a0f324ca
88a9b030ab81082629253c581fe0670019c766f32acfc78a6cdc1080ad272fe4	3303ba52a334da58a4992c4f9fba7272e294b7af	5f0b029db26afd7852e077ad02c4a031	vulnerable driver	KObjExp.sys			4cc26fea341ef2b6f349339056a5dfb9
d93d045bb73620055ad4158dbc2e1d3d4c7bfcefbbc90fdc6dfa3663c6cbdac1	4844bff55efaa94a0d50b02e3444bb5a272bf1cb	af27a89e19e96a2a83a9908f75a12221	vulnerable driver	KObjExp.sys			56077d4efbf498f901e7098df0cdcf53
30061ef383e18e74bb067fbca69544f1a7544e8dc017d4e7633d8379aff4c3c3	4dd86ff6f7180abebcb92e556a486abe7132754c	5917e415a5bf30b3fcbcbcb8a4f20ee0	malicious			TRUE	d51f0f6034eb5e45f0ed4e9b7bbc9c97
dd4fedd5662122cbfe046a12e2137294ef1cb7822238d9e24eacc78f22f8e93d	bf87ecd70eec427b2090a34781c49bbf5c7b3500	c0e2a64ba0d23ab95258372457060143	vulnerable driver			FALSE	f2dc136141066311fddef65f7f417c44
9f1229cd8dd9092c27a01f5d56e3c0d59c2bb9f0139abf042e56f343637fda33	643383938d5e0d4fd30d302af3e9293a4798e392	07f83829e7429e60298440cd1e601a6a	vulnerable driver	semav6msr.sys		FALSE	24e4c876bb5db0b0e0a4e92f0a3d3a48
